﻿Title:,"Table 11 - HE student enrolments by domicile and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2017/18"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Domicile marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"","Region of HE provider"
"Domicile","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","The Open University in England","England"
"Leicestershire","460","1,010","1,905","7,295","2,270","580","895","825","730","1,175","17,150"
"Lincolnshire","845","905","3,035","6,155","1,265","1,185","885","755","515","1,740","17,290"
"Lisburn and Castlereagh","150","330","80","70","60","55","105","90","110","0","1,050"
"Luton","45","190","160","670","460","2,935","1,115","485","170","380","6,610"
"Medway","65","155","150","270","235","365","1,645","2,765","280","585","6,520"
"Merseyside","915","26,155","3,120","920","1,210","310","1,250","620","540","1,850","36,890"
"Merthyr Tudful - Merthyr Tydfil","5","20","10","15","35","5","35","30","65","0","220"
"Mid and East Antrim","105","250","50","45","65","45","80","75","40","0","750"
"Mid Ulster","50","275","40","40","50","35","70","35","25","0","620"
"Middlesbrough","2,870","220","385","70","55","25","90","35","15","120","3,890"
"Midlothian","20","15","5","15","15","5","20","20","10","0","125"
"Milton Keynes","95","405","420","1,720","865","1,140","825","900","340","1,420","8,125"
"Moray","20","20","10","20","30","10","30","20","10","0","180"
"Newry, Mourne and Down","115","510","65","55","75","65","125","75","80","0","1,165"
"Norfolk","485","625","1,210","2,080","915","6,595","1,510","1,515","765","2,205","17,900"
"North Ayrshire","10","20","5","20","20","10","20","10","10","0","120"
"North Down and Ards","205","340","85","60","70","70","105","115","100","0","1,155"
"North East Lincolnshire","185","295","1,230","610","95","50","110","80","35","215","2,895"
"North Lanarkshire","30","25","15","30","35","10","30","20","10","0","210"
"North Lincolnshire","245","265","1,425","640","135","55","125","90","45","240","3,265"
"North Somerset","75","195","205","185","265","100","300","490","2,400","420","4,635"
"North Yorkshire","3,115","1,805","5,800","1,025","795","345","770","570","435","1,110","15,775"
"Northamptonshire","355","860","1,250","7,130","2,195","1,335","1,195","1,425","875","1,690","18,305"
"Northumberland","3,835","645","980","275","255","130","255","190","150","460","7,180"
"Nottinghamshire","755","1,275","3,565","7,975","1,375","460","765","585","545","1,465","18,765"
"Orkney Islands","5","5","0","5","5","0","5","5","0","0","35"
"Oxfordshire","490","845","935","1,325","1,735","910","2,465","7,580","2,480","1,630","20,390"
"Pen-Y-Bont Ar Ogwr - Bridgend","15","85","50","80","100","40","90","145","340","0","945"
"Perth and Kinross","45","35","35","35","55","25","55","50","35","0","375"
"Peterborough","105","185","510","1,105","370","1,070","430","235","95","465","4,575"
"Poole","45","85","75","95","150","75","280","815","1,410","365","3,390"
"Powys - Powys","55","380","120","110","440","55","150","165","275","0","1,745"
"Reading","45","115","120","185","240","160","940","1,455","470","425","4,160"
"Redcar and Cleveland","2,485","195","390","90","55","20","65","40","20","165","3,525"
"Renfrewshire","30","35","10","30","25","5","25","15","5","0","180"
"Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","15","95","45","80","105","40","120","190","335","0","1,020"
"Rutland","60","60","140","280","105","85","90","85","70","120","1,090"
"Scottish Borders","70","45","45","20","55","10","35","30","20","0","330"
"Shetland Islands","5","5","0","0","5","0","5","5","0","0","30"
"Shropshire","145","1,460","540","430","2,435","140","370","410","525","600","7,060"
"Sir Benfro - Pembrokeshire","30","85","60","85","115","45","100","135","355","0","1,010"
"Sir Ceredigion - Ceredigion","15","135","45","45","125","35","85","75","150","0","715"
"Sir Ddinbych - Denbighshire","50","810","155","85","110","25","95","60","50","0","1,435"
"Sir Fynwy - Monmouthshire","50","105","80","110","220","45","145","225","535","0","1,520"
"Sir Gaerfyrddin - Carmarthenshire","20","155","60","100","185","45","185","180","405","0","1,330"
"Sir Y Fflint - Flintshire","60","1,600","240","130","165","45","90","65","75","0","2,475"
"Sir Ynys Môn - Isle of Anglesey","30","350","70","50","55","15","40","45","40","0","695"
"Slough","25","105","80","190","320","290","1,560","1,140","195","230","4,140"
"Somerset","230","520","420","480","770","290","1,045","1,540","4,660","1,205","11,155"
"South Ayrshire","15","20","15","10","25","10","15","20","10","0","145"
"South Gloucestershire","65","245","225","260","395","270","325","650","3,305","475","6,215"
"South Lanarkshire","35","60","25","35","40","20","40","30","15","0","300"
"South Yorkshire","1,305","2,575","17,425","2,875","1,050","405","905","575","405","2,015","29,530"
"Southend-on-Sea","45","95","135","265","200","1,060","875","685","220","500","4,085"
"Staffordshire","315","2,785","1,680","3,195","9,680","330","670","700","760","1,300","21,415"
"Stirling","25","30","20","20","35","15","40","30","25","0","240"
"Stockton-on-Tees","3,740","290","645","145","120","40","165","90","45","215","5,495"
"Suffolk","390","605","1,130","1,515","930","6,915","1,595","1,795","855","1,680","17,410"
"Surrey","1,050","1,145","1,570","2,245","1,765","1,395","7,370","10,110","4,430","2,230","33,305"
"Swindon","50","150","100","185","325","115","345","1,145","1,415","520","4,350"
"Telford and Wrekin","45","565","190","265","1,890","60","145","150","140","360","3,810"
"Thurrock","45","70","70","220","175","695","1,245","560","95","330","3,505"
"Torbay","25","80","55","75","130","50","180","270","1,520","345","2,740"
"Tor-Faen - Torfaen","10","50","25","35","75","20","50","85","220","0","570"
"Tyne and Wear","17,690","1,470","2,335","585","495","260","900","465","270","1,375","25,840"
"Warrington","195","3,210","735","285","325","75","175","135","120","350","5,605"
"Warwickshire","310","935","1,415","2,255","5,365","395","860","1,135","1,200","1,085","14,945"
"West Berkshire","90","155","185","240","270","145","540","1,235","720","370","3,960"
"West Dunbartonshire","10","20","5","10","15","5","10","10","10","0","90"
"West Lothian","25","25","25","20","20","15","25","20","10","0","180"
"West Midlands","630","4,310","3,250","7,210","51,405","1,195","3,320","2,740","2,465","4,165","80,690"
"West Sussex","340","545","605","800","820","725","2,865","8,410","2,195","1,915","19,210"
"West Yorkshire","3,865","6,880","34,995","2,810","1,805","740","1,930","1,110","760","3,390","58,290"
"Western Isles (Eilean Siar)","5","5","5","0","5","0","5","5","0","0","35"
"Wiltshire","255","450","460","545","780","455","1,150","2,790","3,990","1,305","12,190"
"Windsor and Maidenhead","100","160","190","290","270","200","860","1,265","565","305","4,210"
"Wokingham","110","140","200","365","410","235","780","1,715","815","365","5,140"
"Worcestershire","235","930","795","1,120","6,200","265","680","1,015","1,845","1,030","14,120"
"Wrecsam - Wrexham","60","1,015","140","85","200","45","90","65","70","0","1,765"
"England (county/unitary authority unknown)","60","1,310","450","315","405","395","1,380","390","200","25","4,930"
"Wales (unitary authority unknown)","0","5","0","5","10","0","10","10","5","0","35"
"Scotland (council area unknown)","5","5","0","5","5","5","20","5","5","0","55"
"Northern Ireland (district council area unknown)","0","10","10","0","10","0","10","5","10","0","50"
"United Kingdom, not otherwise specified","5","30","20","20","155","35","80","40","15","0","400"
"Channel Islands not otherwise specified","115","195","110","135","100","65","230","690","475","0","2,125"
"Isle of Man","115","380","215","140","70","35","85","100","70","5","1,220"
"Afghanistan","10","5","10","5","5","15","45","20","5","0","120"
"Albania","5","10","10","5","25","20","125","30","10","0","235"
"Algeria","10","15","20","30","15","15","55","55","15","0","225"
"American Samoa","0","0","0","0","0","0","0","0","0","0","5"
"Andorra","0","0","0","0","0","0","5","0","0","0","5"
"Angola","30","60","50","30","55","20","70","90","55","0","460"
"Anguilla","0","0","0","5","10","0","5","5","0","0","30"
"Antigua and Barbuda","0","0","0","0","0","0","10","5","0","0","25"
"Argentina","5","5","15","5","15","10","105","25","5","0","185"
"Armenia","5","10","0","0","5","15","40","15","5","0","100"
"Aruba","0","0","0","0","0","0","0","0","0","0","5"
"Australia","50","105","60","70","55","275","700","395","65","5","1,775"
"Austria","35","85","70","85","100","120","600","245","90","0","1,435"
"Azerbaijan","45","95","30","45","70","30","240","60","40","0","665"
"Bahamas, The","5","5","10","10","10","0","20","40","10","0","110"
"Bahrain","145","135","240","70","85","30","200","190","50","0","1,145"
"Bangladesh","195","180","100","100","185","385","785","150","150","0","2,225"
"Barbados","5","10","15","30","10","10","40","45","25","0","195"
"Belarus","5","15","5","5","15","15","60","20","15","0","150"
"Belgium","70","135","120","150","220","195","950","445","265","5","2,550"
"Belize","0","5","5","5","0","0","10","0","5","0","25"
"Benin","0","0","0","0","0","0","5","0","0","0","15"
"Bermuda","10","35","15","35","40","20","85","80","50","0","370"
"Bhutan","0","0","5","0","0","0","5","5","0","0","15"
"Bolivia [Bolivia, Plurinational State of]","5","10","0","0","0","0","15","5","5","0","45"
"Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0","0","0","0"
"Bosnia and Herzegovina","0","5","0","5","5","5","20","10","0","0","50"
"Botswana","5","35","85","40","40","30","75","45","35","0","385"
"Brazil","60","175","90","115","100","110","875","250","100","0","1,870"
"British Virgin Islands [Virgin Islands, British]","0","15","15","15","15","10","50","10","15","0","150"
"Brunei [Brunei Darussalam]","95","90","145","200","195","80","150","275","115","5","1,350"
"Bulgaria","205","500","350","235","665","250","1,140","660","355","0","4,360"
"Burkina Faso","0","0","5","0","0","0","0","0","0","0","10"
"Burma [Myanmar]","25","40","25","20","30","25","80","55","30","0","330"
"Burundi","0","5","5","0","5","5","5","0","0","0","20"
"Cambodia","5","10","5","20","10","0","35","10","10","0","105"
"Cameroon","15","50","20","20","75","50","40","35","15","0","315"
"Canada","250","275","245","390","305","350","1,625","925","270","0","4,635"
"Cape Verde","0","0","0","0","0","0","5","0","0","0","5"
"Cayman Islands","15","15","10","15","10","10","40","45","40","0","200"
"Central African Republic","0","0","0","0","0","0","0","0","0","0","0"
"Chad","0","0","0","0","0","0","0","0","0","0","0"
"Chile","15","80","45","30","20","50","375","70","35","0","715"
"China","5,355","11,550","9,335","7,595","10,060","4,155","15,010","9,515","5,200","0","77,770"
"Christmas Island","0","0","0","0","0","0","0","0","0","0","5"
"Colombia","25","70","60","65","60","65","375","105","80","0","900"
"Congo","0","0","0","0","0","0","5","0","0","0","10"
"Congo (Democratic Republic) [Congo (The Democratic Republic of the)]","0","5","0","0","10","5","10","10","0","0","40"
"Cook Islands","0","0","0","0","0","0","0","0","0","0","0"
"Costa Rica","5","5","5","0","5","5","35","10","0","0","80"
"Croatia","10","20","15","25","90","40","130","90","10","0","435"
"Cuba","0","0","0","0","0","0","15","5","0","0","25"
"Curaçao","0","0","0","0","0","0","0","0","0","0","5"
"Cyprus (European Union)","490","1,040","875","900","640","685","1,325","1,795","505","35","8,285"
"Cyprus (Non-European Union)","5","5","5","10","5","5","20","30","5","0","85"
"Czech Republic","35","85","65","95","250","100","375","160","80","0","1,255"
"Denmark","30","50","55","45","80","85","465","175","60","0","1,050"
"Djibouti","0","0","0","0","0","0","5","5","0","0","10"
"Dominica","0","0","0","0","0","5","5","5","0","0","15"
"Dominican Republic","0","0","0","0","50","0","20","10","10","0","95"
"East Timor [Timor Leste]","0","0","0","0","0","0","0","0","0","0","5"
"Ecuador","20","70","25","30","25","15","195","30","15","0","425"
"Egypt","65","170","190","130","130","90","625","255","135","0","1,795"
"El Salvador","0","5","5","0","0","5","10","5","5","0","30"
"Equatorial Guinea","0","0","0","0","5","0","0","0","0","0","10"
"Eritrea","0","0","0","0","0","0","5","0","0","0","15"
"Estonia","10","60","65","50","135","55","200","125","65","0","760"
"Ethiopia","5","10","5","10","10","10","50","25","10","0","135"
"Falkland Islands [Falkland Islands (Malvinas)]","0","0","0","5","0","0","5","10","0","5","30"
"Faroe Islands","5","5","0","0","0","5","10","5","5","0","40"
"Fiji","0","0","0","0","5","0","5","5","0","0","20"
"Finland","25","50","40","75","95","80","500","185","115","0","1,170"
"France","250","635","560","375","1,075","970","3,790","1,595","905","10","10,165"
"French Polynesia","0","0","0","0","0","0","0","0","0","0","5"
"Gabon","0","0","0","0","0","0","5","0","5","0","10"
"Gambia, The","5","5","15","15","25","10","40","15","5","0","125"
"Georgia","5","10","15","5","10","10","85","20","15","0","175"
"Germany","360","595","480","410","630","970","3,520","1,775","775","85","9,595"
"Ghana","45","100","115","130","140","100","195","185","65","0","1,070"
"Gibraltar","60","110","80","55","50","35","155","135","50","0","740"
"Greece","410","645","615","410","555","535","2,530","1,480","545","5","7,740"
"Greenland","0","0","0","0","0","0","5","0","0","0","5"
"Grenada","0","0","0","0","0","0","15","0","0","0","25"
"Guam","0","0","0","0","0","0","0","0","0","0","5"
"Guatemala","0","0","5","5","0","0","10","5","5","0","30"
"Guinea","0","0","0","0","0","0","5","0","0","0","10"
"Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0"
"Guyana","5","5","10","0","5","5","15","10","5","0","55"
"Haiti","0","0","0","0","0","5","5","0","0","0","10"
"Honduras","0","0","0","0","0","5","5","5","0","0","20"
"Hong Kong (Special Administrative Region of China) [Hong Kong]","935","1,365","1,150","1,245","1,760","1,020","3,460","2,615","1,555","0","15,110"
"Hungary","75","90","90","55","90","150","510","160","120","0","1,345"
"Iceland","5","10","10","5","0","10","80","20","35","0","180"
"India","670","1,235","1,185","1,370","1,935","1,250","4,470","1,565","715","0","14,400"
"Indonesia","260","350","255","175","420","100","715","240","165","0","2,680"
"Iran [Iran, Islamic Republic of]","45","120","115","80","130","95","480","180","50","0","1,295"
"Iraq","145","320","360","435","170","100","140","205","95","0","1,970"
"Ireland","240","760","325","290","535","605","1,565","940","360","10","5,630"
"Israel","0","15","15","10","10","35","235","50","15","0","385"
"Italy","260","585","520","505","545","645","4,825","1,570","670","10","10,130"
"Ivory Coast [Côte D'ivoire]","0","10","0","5","25","0","10","5","0","0","60"
"Jamaica","5","10","10","10","25","15","55","30","15","0","170"
"Japan","90","125","195","90","205","190","1,190","515","165","0","2,765"
"Jordan","70","130","140","135","125","95","295","215","160","0","1,365"
"Kazakhstan","50","115","110","85","135","65","480","170","110","0","1,320"
"Kenya","55","150","210","195","285","115","400","335","110","0","1,855"
"Kiribati","0","0","0","0","0","0","0","0","0","0","5"
"Korea (North) [Korea, Democratic People's Republic of]","0","0","0","0","0","0","0","0","0","0","5"
"Korea (South) [Korea, Republic of]","185","360","325","155","370","175","2,390","485","225","0","4,675"
"Kosovo","0","0","0","0","10","0","25","5","0","0","45"
"Kuwait","350","415","345","180","175","70","325","345","140","0","2,345"
"Kyrgyzstan","5","5","5","0","0","0","25","5","5","0","50"
"Laos [Lao People's Democratic Republic]","0","5","0","0","5","0","20","10","0","0","45"
"Latvia","40","105","90","70","180","90","265","140","90","0","1,075"
"Lebanon","30","55","50","35","75","30","445","120","40","0","880"
"Lesotho","0","0","0","0","5","0","5","5","0","0","15"
"Liberia","5","5","0","5","5","5","10","5","0","0","35"
"Libya","75","250","470","200","110","50","80","105","50","0","1,385"
"Liechtenstein","0","0","0","0","0","0","10","0","0","0","15"
"Lithuania","205","235","305","240","430","335","830","285","175","0","3,040"
"Luxembourg","30","40","45","70","55","60","270","200","80","0","855"
"Macao (Special Administrative Region of China) [Macao]","25","55","35","35","40","25","135","70","40","0","460"
"Macedonia [Macedonia, The Former Yugoslav Republic of]","0","10","5","5","10","5","40","20","5","0","90"
"Madagascar","0","0","0","5","5","0","10","0","0","0","25"
"Malawi","5","30","30","35","20","15","30","30","10","0","200"
"Malaysia","1,105","1,960","1,640","1,030","1,225","945","3,100","2,070","1,480","0","14,555"
"Maldives","10","20","10","15","15","10","40","25","20","0","160"
"Mali","0","0","0","0","0","5","0","5","0","0","15"
"Malta","20","45","65","50","85","35","195","80","50","0","625"
"Mauritania","0","5","0","0","5","0","5","5","0","0","25"
"Mauritius","65","95","40","75","65","85","370","195","130","0","1,120"
"Mayotte","0","0","0","0","0","0","0","0","0","0","0"
"Mexico","45","195","265","135","95","135","475","245","135","0","1,725"
"Moldova [Moldova, Republic of]","5","10","5","0","5","5","25","5","0","0","60"
"Monaco","5","0","0","0","5","5","50","15","10","0","95"
"Mongolia","5","20","10","10","10","5","45","15","5","0","130"
"Montenegro","0","5","0","0","5","5","35","10","0","0","55"
"Montserrat","0","0","0","0","0","0","5","0","0","0","10"
"Morocco","15","25","25","20","65","15","275","45","25","0","510"
"Mozambique","5","5","10","5","10","5","15","15","5","0","80"
"Namibia","5","10","5","10","20","5","15","15","5","0","90"
"Nepal","35","35","25","20","30","95","220","55","45","0","560"
"Netherlands","155","165","165","180","210","275","945","505","245","5","2,845"
"New Caledonia","0","0","0","0","0","0","5","0","0","0","10"
"New Zealand","20","25","20","15","15","105","145","90","15","0","445"
"Nicaragua","0","0","0","0","0","0","5","0","0","0","10"
"Niger","0","5","0","0","0","5","5","0","0","0","15"
"Nigeria","840","1,535","1,445","1,270","2,350","1,835","1,895","1,615","700","0","13,485"
"Niue","0","0","0","0","0","0","0","0","0","0","0"
"Norway","170","380","125","95","90","365","1,720","800","465","5","4,215"
"Occupied Palestinian Territories [Palestine, State of]","10","25","5","15","20","15","60","40","15","0","205"
"Oman","125","380","390","195","300","75","215","245","115","0","2,030"
"Pakistan","215","455","360","275","540","630","1,475","400","155","0","4,510"
"Panama","0","5","5","5","5","5","25","10","5","0","65"
"Papua New Guinea","0","0","0","0","0","0","5","0","0","0","10"
"Paraguay","0","0","0","0","0","0","15","5","0","0","25"
"Peru","10","45","15","5","20","15","170","40","15","0","335"
"Philippines","25","30","35","20","40","45","250","95","40","0","580"
"Poland","125","330","250","300","395","330","1,780","570","205","0","4,290"
"Portugal","60","210","120","125","225","325","1,060","395","215","0","2,745"
"Puerto Rico","0","0","0","0","5","5","15","0","0","0","25"
"Qatar","125","245","415","230","270","105","410","225","80","0","2,110"
"Romania","210","695","485","335","1,050","755","1,785","810","230","0","6,360"
"Russia [Russian Federation]","145","215","125","95","250","190","1,740","495","255","0","3,500"
"Rwanda","0","15","5","5","40","10","15","15","5","0","105"
"Samoa","0","0","0","0","0","0","0","0","0","0","5"
"San Marino","0","0","0","0","0","0","0","0","0","0","5"
"Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","5"
"Saudi Arabia","375","1,190","770","765","800","435","1,450","915","365","5","7,070"
"Senegal","0","5","5","0","5","0","15","0","0","0","35"
"Serbia","0","15","10","10","15","50","115","40","10","0","265"
"Seychelles","5","10","0","15","15","5","15","20","5","0","100"
"Sierra Leone","5","10","15","15","15","15","30","20","5","0","125"
"Singapore","375","530","405","385","495","445","2,690","690","685","0","6,705"
"Sint Maarten (Dutch part)","0","0","0","0","0","0","0","0","5","0","10"
"Slovakia","15","75","35","50","75","90","375","215","50","0","980"
"Slovenia","5","10","15","15","20","30","135","55","10","0","295"
"Solomon Islands","0","0","0","0","0","0","0","0","0","0","5"
"Somalia","0","0","0","5","10","5","5","0","0","0","25"
"South Africa","40","60","50","70","70","100","270","255","80","0","1,000"
"South Georgia and The South Sandwich Islands","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","0","0","0","5","5","5","10","0","0","0","25"
"Spain","185","595","375","370","435","545","2,240","1,015","605","10","6,370"
"Sri Lanka","65","115","115","100","125","115","375","130","65","0","1,200"
"St Barthélemy","0","0","0","0","0","0","0","0","0","0","0"
"St Helena, Ascension and Tristan da Cunha","0","0","0","0","0","0","0","0","0","0","10"
"St Kitts and Nevis","0","0","0","0","0","0","5","5","0","0","15"
"St Lucia","0","5","10","0","5","5","15","0","5","0","45"
"St Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0"
"St Vincent and the Grenadines","0","0","0","5","0","0","15","5","0","0","30"
"Sudan","5","30","30","35","25","20","50","40","10","0","245"
"Suriname","0","0","0","0","0","0","0","0","0","0","5"
"Svalbard and Jan Mayen","0","0","0","0","0","0","0","0","0","0","0"
"Swaziland","0","0","0","5","0","0","10","10","0","0","30"
"Sweden","95","130","70","75","180","150","955","295","140","5","2,090"
"Switzerland","105","150","115","105","150","190","1,225","555","275","5","2,875"
"Syria [Syrian Arab Republic]","10","20","20","20","20","15","45","30","15","0","190"
"Taiwan [Taiwan, Province of China]","155","235","280","275","340","165","1,205","455","305","0","3,420"
"Tajikistan","0","0","5","0","5","5","10","0","0","0","25"
"Tanzania [Tanzania, United Republic of]","15","55","50","60","140","50","95","125","30","0","615"
"Thailand","290","345","400","455","460","330","1,490","885","685","0","5,340"
"Togo","5","0","0","0","5","0","5","0","0","0","15"
"Tonga","0","0","0","0","0","0","0","0","0","0","0"
"Trinidad and Tobago","10","35","30","35","100","20","225","85","30","0","565"
"Tunisia","5","5","10","5","10","5","55","20","5","0","120"
"Turkey","105","160","130","200","190","155","1,110","475","215","0","2,740"
"Turkmenistan","0","0","0","5","5","5","20","10","5","0","45"
"Turks and Caicos Islands","10","10","10","5","5","5","15","20","10","0","85"
"Tuvalu","0","0","0","0","0","0","0","0","0","0","5"
"Uganda","20","50","45","50","85","45","135","90","40","0","560"
"Ukraine","30","35","30","35","65","35","410","130","90","0","860"
"United Arab Emirates","130","330","290","310","370","145","965","420","235","0","3,195"
"United States","530","495","520","390","430","1,025","6,115","2,205","465","5","12,185"
"United States Virgin Islands [Virgin Islands, U. S.]","0","0","0","0","0","0","5","0","0","0","5"
"Uruguay","0","5","5","0","5","5","30","15","5","0","80"
"Uzbekistan","5","10","5","10","15","10","40","20","10","0","125"
"Vanuatu","0","0","0","0","0","0","0","0","0","0","0"
"Venezuela [Venezuela, Bolivarian Republic of]","15","15","20","5","10","15","90","45","25","0","230"
